quarter,month,category,projects
Quarter 1,January,Health,Allosaurus
Quarter 1,February,Education,MicroRaptor
Quarter 1,February,Education,Rage Tech
Quarter 1,March,Education,Intellect Web
Quarter 1,January,Education,Net App
Quarter 1,March,Education,Ragester
Quarter 1,January,E-commerce,Techops
Quarter 1,February,E-commerce,Osiris
Quarter 1,March,E-commerce,Horus
Quarter 1,January,Education,Webiva
Quarter 1,February,Education,Agile App
Quarter 1,January,Health,Appgenics
Quarter 1,January,Health,Yorick
Quarter 2,April,Health,Mega Tech
Quarter 2,May,E-commerce,Techscape
Quarter 2,June,E-commerce,Scout Web
Quarter 2,April,E-commerce,Edge World
Quarter 2,May,Research,Alpha chip
Quarter 2,June,Research,Rubicon Tech
Quarter 2,April,Education,Stride Web
Quarter 2,May,Education,League Tech
Quarter 2,June,Health,Techoont
Quarter 2,April,Health,Beta Explore
Quarter 2,May,Health,Insight Tech
Quarter 2,June,E-commerce,Challenge Tech
Quarter 2,May,E-commerce,Techlance
Quarter 2,June,E-commerce,Fleet Tech
Quarter 2,May,Research,Sonic Tech
Quarter 2,June,Research,Techworks
Quarter 2,May,Education,Techology
Quarter 2,June,Education,Crimson Tech
Quarter 2,May,Health,Binary Tech
Quarter 2,June,Health,Techoont
Quarter 3,September,E-commerce,Chroma Tech
Quarter 3,July,E-commerce,Techomatic
Quarter 3,August,Research,Cookie Tech
Quarter 3,September,Research,Geek Tech
Quarter 3,July,Education,Fantasy Tech
Quarter 3,August,Education,Savvy Tech
Quarter 3,September,Health,Pick Tech
Quarter 3,July,Health,Dynasty Tech
Quarter 3,August,Health,Boot Tech
Quarter 3,September,E-commerce,Zero Tech
Quarter 3,July,E-commerce,Techdo
Quarter 3,July,E-commerce,Marksman Tech
Quarter 3,July,E-commerce,Night Tech
Quarter 3,July,Research,Techorama
Quarter 3,September,Education,Eternal Tech
Quarter 3,September,Education,Intellect Tech
Quarter 4,October,Research,Acumen App
Quarter 4,October,Research,Surface App
Quarter 4,October,Education,Interactive App
Quarter 4,October,Education,Programmatic App
Quarter 4,October,Health,Surge App
Quarter 4,November,Health,Applux
Quarter 4,November,Health,Web Luminous
Quarter 4,November,E-commerce,Appdeck
Quarter 4,November,E-commerce,Intrepid App
Quarter 4,November,E-commerce,Appster
Quarter 4,November,Education,Turbo Tech
Quarter 4,November,Education,Info Tech
Quarter 4,November,Research,Artificial Intelligence
Quarter 4,November,Research,Block Chain
Quarter 4,November,Education,FIU Mobile
Quarter 4,November,Education,FIU Canvas
Quarter 4,November,Health,COVID updates
Quarter 4,December,Health,Fitness Tracker
Quarter 4,December,Health,P3 App
Quarter 4,December,E-commerce,Web Retail
Quarter 4,December,E-commerce,Dock App
Quarter 4,December,E-commerce,Inventory Check
